type,speaker,start,end,text,word,word_position,confidence,overlap_duration
segment,SPEAKER_01,0.18,5.28,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",,,0.6951584748949821,5.1
word,SPEAKER_01,0.18,0.52,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",that,0,0.051444996148347855,5.1
word,SPEAKER_01,0.52,0.76,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",there's,1,0.86591437458992,5.1
word,SPEAKER_01,0.76,0.94,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",not,2,0.9471068978309631,5.1
word,SPEAKER_01,0.94,1.14,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",a,3,0.989113450050354,5.1
word,SPEAKER_01,1.14,1.44,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",great,4,0.9939321875572205,5.1
word,SPEAKER_01,1.44,1.9,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",deal,5,0.992312490940094,5.1
word,SPEAKER_01,1.9,2.82,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",of,6,0.9802071452140808,5.1
word,SPEAKER_01,2.82,3.24,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",possibility,7,0.9448400139808655,5.1
word,SPEAKER_01,3.24,3.5,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",of,8,0.9887773394584656,5.1
word,SPEAKER_01,3.5,3.68,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",mid,9,0.8205316066741943,5.1
word,SPEAKER_01,3.68,3.82,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",-air,10,0.7176765501499176,5.1
word,SPEAKER_01,3.82,4.28,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",crashes.,11,0.9632184505462646,5.1
word,SPEAKER_01,4.44,4.64,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",Of,12,0.9661396741867065,5.1
word,SPEAKER_01,4.64,4.64,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.","course,",13,0.9990648627281189,5.1
word,SPEAKER_01,4.74,4.88,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",it,14,0.9899473786354065,5.1
word,SPEAKER_01,4.88,5.28,"that there's not a great deal of possibility of mid-air crashes. Of course, it exists.",exists.,15,0.9766057729721069,5.1
segment,SPEAKER_01,5.98,8.52,"But the possibility is fairly remote, isn't that?",,,0.6951584748949821,2.539
word,SPEAKER_01,5.98,5.98,"But the possibility is fairly remote, isn't that?",But,0,0.5756126046180725,2.539
word,SPEAKER_01,5.98,6.34,"But the possibility is fairly remote, isn't that?",the,1,0.942385733127594,2.539
word,SPEAKER_01,6.34,6.78,"But the possibility is fairly remote, isn't that?",possibility,2,0.495411217212677,2.539
word,SPEAKER_01,6.78,7.28,"But the possibility is fairly remote, isn't that?",is,3,0.8746030330657959,2.539
word,SPEAKER_01,7.28,7.54,"But the possibility is fairly remote, isn't that?",fairly,4,0.9427781701087952,2.539
word,SPEAKER_01,7.54,7.96,"But the possibility is fairly remote, isn't that?","remote,",5,0.8705993890762329,2.539
word,SPEAKER_01,7.96,8.38,"But the possibility is fairly remote, isn't that?",isn't,6,0.9833000600337982,2.539
word,SPEAKER_01,8.38,8.52,"But the possibility is fairly remote, isn't that?",that?,7,0.5510536432266235,2.539
segment,SPEAKER_00,10.08,16.94,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",,,0.6951584748949821,3.46
word,SPEAKER_00,10.08,10.62,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.","Well,",0,0.47503462433815,3.46
word,SPEAKER_00,10.62,11.16,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",I,1,0.9785373210906982,3.46
word,SPEAKER_00,11.16,12.0,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",started,2,0.9182285070419312,3.46
word,SPEAKER_00,12.0,12.32,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",speech,3,0.9550446271896362,3.46
word,SPEAKER_00,12.32,12.56,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",one,4,0.8320765495300293,3.46
word,SPEAKER_00,12.56,12.86,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.","time,",5,0.7929715514183044,3.46
word,SPEAKER_00,12.88,13.16,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",said,6,0.8350270986557007,3.46
word,SPEAKER_00,13.16,13.26,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",that,7,0.8159860372543335,3.46
word,SPEAKER_00,13.26,13.42,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",we,8,0.7432351112365723,3.46
word,SPEAKER_00,13.42,14.04,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",had,9,0.5055056810379028,3.46
word,SPEAKER_00,14.04,14.28,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",the,10,0.767898678779602,3.46
word,SPEAKER_00,14.28,14.86,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",potential,11,0.9970633387565613,3.46
word,SPEAKER_00,14.86,15.54,"Well, I started speech one time, said that we had the potential or the problem of mid-air collisions.",or,12,0.5966095328330994,3.46
